Autism: Akkermansia, Peptostreptococcaceae, Alistipes, Clostridium, Rothia, Bacteroides vulgatus, Bilophila, Escherichia coli, Ruminococcus gnavus, Lachnospira, Dorea, Porphyromonas, Klebsiella, Lachnospiraceae, Eubacterium, Eubacterium rectale, Bacteroides fragilis, Actinomyces, Faecalibacterium prausnitzii, Ruminococcaceae
Palmoplantar pustulosis: Moraxella, Firmicutes, Selenomonas, Propionibacterium, Campylobacter, Capnocytophaga, Peptostreptococcus, Aggregatibacter, Streptococcus pneumoniae, Treponema, Propionibacterium acnes, Atopobium, Peptoniphilus, Lactobacillus crispatus, Streptococcus anginosus, Prevotella nanceiensis, Actinobacteria, Coprobacillus, Staphylococcus epidermidis, Comamonas
Drug-resistant Epilepsy: Moraxella, Firmicutes, Selenomonas, Propionibacterium, Peptostreptococcus, Capnocytophaga, Campylobacter, Aggregatibacter, Streptococcus pneumoniae, Treponema, Propionibacterium acnes, Lactobacillus crispatus, Peptoniphilus, Atopobium, Streptococcus anginosus, Prevotella nanceiensis, Actinobacteria, Staphylococcus epidermidis, Comamonas, Coprobacillus
Primary liver cancer: Selenomonas, Moraxella, Streptococcus pneumoniae, Peptostreptococcus, Propionibacterium, Prevotella nanceiensis, Lactobacillus crispatus, Capnocytophaga, Firmicutes, Streptococcus anginosus, Haemophilus influenzae, Comamonas, Staphylococcus epidermidis, Propionibacterium acnes, Fusobacterium nucleatum, Streptococcus sanguinis, Staphylococcus aureus, Streptococcus parasanguinis, Peptoniphilus, Streptococcus salivarius
Anovulation: Megamonas, Collinsella, Rothia, Neisseria, Ruminococcus gnavus, Porphyromonas, Corynebacterium, Akkermansia, Phascolarctobacterium, Fusobacterium, Dorea, Proteobacteria, Alistipes, Lachnospira, Oscillibacter, Klebsiella, Clostridium, Anaerostipes, Subdoligranulum, Staphylococcus
Cleft palate: Parabacteroides, Roseburia, Faecalibacterium, Clostridium, Enterobacteriaceae, Ruminococcus, Enterococcus, Blautia, Bifidobacterium, Alistipes, Bacteroides, Ruminococcaceae, Dorea, Anaerostipes, Klebsiella, Akkermansia, Megamonas, Faecalibacterium prausnitzii, Corynebacterium, Porphyromonas
Graves' orbitopathy: Moraxella, Selenomonas, Firmicutes, Propionibacterium, Peptostreptococcus, Capnocytophaga, Streptococcus pneumoniae, Lactobacillus crispatus, Propionibacterium acnes, Streptococcus anginosus, Prevotella nanceiensis, Campylobacter, Peptoniphilus, Treponema, Aggregatibacter, Comamonas, Staphylococcus epidermidis, Streptococcus salivarius, Fusobacterium nucleatum, Veillonella dispar
Obstructive sleep apnea-hypopnea syndrome: Selenomonas, Streptococcus pneumoniae, Haemophilus influenzae, Staphylococcus aureus, Streptococcus sanguinis, Psychrobacter, Rothia aeria, Streptococcus anginosus, Lactobacillus crispatus, Enhydrobacter, Prevotella nanceiensis, Peptostreptococcus, Comamonas, Streptococcus oralis, Tanerella forsythia, Fusobacterium nucleatum, Gardnerella vaginalis, Capnocytophaga, Staphylococcus epidermidis, Veillonella dispar
Silicosis: Rothia, Akkermansia, Collinsella, Alistipes, Porphyromonas, Clostridium, Dorea, Ruminococcus gnavus, Megamonas, Neisseria, Klebsiella, Lachnospira, Corynebacterium, Phascolarctobacterium, Anaerostipes, Subdoligranulum, Fusobacterium, Oscillibacter, Enterobacteriaceae, Lachnospiraceae
Urolithiasis: Megamonas, Collinsella, Corynebacterium, Rothia, Neisseria, Phascolarctobacterium, Porphyromonas, Akkermansia, Alistipes, Proteobacteria, Ruminococcus gnavus, Dorea, Klebsiella, Fusobacterium, Oscillibacter, Clostridium, Anaerostipes, Subdoligranulum, Lachnospira, Blautia
Endometriosis: Rothia, Ruminococcus gnavus, Akkermansia, Collinsella, Lachnospira, Porphyromonas, Neisseria, Alistipes, Oscillibacter, Bilophila, Eubacterium, Dorea, Clostridium, Klebsiella, Haemophilus, Corynebacterium, Peptostreptococcaceae, Staphylococcus, Escherichia coli, Shigella
Urogenital Schistosomiasis: Propionibacterium acnes, Propionibacterium, Treponema, Capnocytophaga, Peptostreptococcus, Alloprevotella, Selenomonas, Moraxella, Streptococcus anginosus, Streptococcus salivarius, Peptoniphilus, Lactobacillus crispatus, Veillonella dispar, Staphylococcus epidermidis, Campylobacter, Bulleidia, Actinobacteria, Comamonas, Proteus, Bacteriodes uniformis
Clostridium difficile infection: Ruminococcus gnavus, Campylobacter, Actinobacteria, Alloprevotella, Atopobium, Neisseria, Gemella, Oscillibacter, Collinsella, Proteobacteria, Megamonas, Aggregatibacter, Lachnospira, Rothia, Anaerotruncus, Staphylococcus, Treponema, Pseudomonas, Granulicatella, Lachnoclostridium
Cervical intraneoplasia: Selenomonas, Streptococcus pneumoniae, Moraxella, Propionibacterium, Prevotella nanceiensis, Peptostreptococcus, Capnocytophaga, Firmicutes, Lactobacillus crispatus, Streptococcus anginosus, Haemophilus influenzae, Comamonas, Staphylococcus epidermidis, Fusobacterium nucleatum, Propionibacterium acnes, Streptococcus sanguinis, Streptococcus parasanguinis, Peptoniphilus, Staphylococcus aureus, Streptococcus salivarius
Influenza A: Moraxella, Firmicutes, Selenomonas, Propionibacterium, Campylobacter, Aggregatibacter, Capnocytophaga, Peptostreptococcus, Atopobium, Treponema, Propionibacterium acnes, Peptoniphilus, Actinobacteria, Lactobacillus crispatus, Streptococcus anginosus, Veillonella dispar, Coprobacillus, Staphylococcus epidermidis, Streptococcus salivarius, Gemella
Recurrent miscarriage: Megamonas, Collinsella, Proteobacteria, Campylobacter, Neisseria, Ruminococcus gnavus, Actinobacteria, Oscillibacter, Rothia, Atopobium, Aggregatibacter, Corynebacterium, Gemella, Phascolarctobacterium, Lachnospira, Lachnoclostridium, Porphyromonas, Staphylococcus, Akkermansia, Alloprevotella
Thyroid carcinoma: Parabacteroides, Roseburia, Clostridium, Faecalibacterium, Enterococcus, Ruminococcus, Enterobacteriaceae, Bifidobacterium, Alistipes, Blautia, Dorea, Bacteroides, Ruminococcaceae, Klebsiella, Akkermansia, Anaerostipes, Porphyromonas, Corynebacterium, Faecalibacterium prausnitzii, Fusobacterium
H7N9: Moraxella, Firmicutes, Propionibacterium, Campylobacter, Selenomonas, Aggregatibacter, Capnocytophaga, Peptostreptococcus, Atopobium, Treponema, Propionibacterium acnes, Actinobacteria, Peptoniphilus, Coprobacillus, Streptococcus anginosus, Lactobacillus crispatus, Alloprevotella, Staphylococcus epidermidis, Streptococcus salivarius, Clostridiales
Cholestasis: Clostridium, Parabacteroides, Alistipes, Enterobacteriaceae, Enterococcus, Roseburia, Dorea, Akkermansia, Klebsiella, Blautia, Ruminococcaceae, Anaerostipes, Faecalibacterium, Ruminococcus, Porphyromonas, Rothia, Bifidobacterium, Lachnospiraceae, Faecalibacterium prausnitzii, Corynebacterium
Undernourishment: Moraxella, Firmicutes, Selenomonas, Propionibacterium, Capnocytophaga, Campylobacter, Peptostreptococcus, Streptococcus pneumoniae, Aggregatibacter, Propionibacterium acnes, Treponema, Prevotella nanceiensis, Peptoniphilus, Lactobacillus crispatus, Streptococcus anginosus, Atopobium, Staphylococcus epidermidis, Comamonas, Coprobacillus, Actinobacteria
Invasive pneumococcal disease: Moraxella, Firmicutes, Campylobacter, Aggregatibacter, Propionibacterium, Atopobium, Selenomonas, Capnocytophaga, Actinobacteria, Peptostreptococcus, Treponema, Propionibacterium acnes, Coprobacillus, Gemella, Peptoniphilus, Proteobacteria, Alloprevotella, Clostridiales, Streptococcus anginosus, Megamonas
Chronic rhinosinusitis with nasal polyps: Moraxella, Selenomonas, Streptococcus pneumoniae, Propionibacterium, Firmicutes, Peptostreptococcus, Capnocytophaga, Prevotella nanceiensis, Lactobacillus crispatus, Streptococcus anginosus, Propionibacterium acnes, Comamonas, Staphylococcus epidermidis, Fusobacterium nucleatum, Peptoniphilus, Streptococcus parasanguinis, Treponema, Haemophilus influenzae, Streptococcus salivarius, Streptococcus sanguinis
Alcoholic cirrhosis: Rothia, Collinsella, Ruminococcus gnavus, Megamonas, Neisseria, Akkermansia, Porphyromonas, Lachnospira, Alistipes, Dorea, Corynebacterium, Clostridium, Klebsiella, Oscillibacter, Phascolarctobacterium, Fusobacterium, Proteobacteria, Eubacterium, Anaerostipes, Shigella
Alopecia areata: Megamonas, Collinsella, Neisseria, Proteobacteria, Ruminococcus gnavus, Campylobacter, Rothia, Corynebacterium, Oscillibacter, Atopobium, Actinobacteria, Phascolarctobacterium, Porphyromonas, Lachnospira, Aggregatibacter, Gemella, Akkermansia, Staphylococcus, Lachnoclostridium, Fusobacterium
Sicca syndrome: Rothia, Ruminococcus gnavus, Collinsella, Neisseria, Porphyromonas, Akkermansia, Megamonas, Lachnospira, Oscillibacter, Dorea, Corynebacterium, Alistipes, Fusobacterium, Haemophilus, Klebsiella, Eubacterium, Clostridium, Phascolarctobacterium, Proteobacteria, Staphylococcus
Tongue cancer: Rothia, Ruminococcus gnavus, Collinsella, Neisseria, Lachnospira, Porphyromonas, Akkermansia, Oscillibacter, Haemophilus, Eubacterium, Alistipes, Dorea, Corynebacterium, Bilophila, Clostridium, Staphylococcus, Klebsiella, Fusobacterium, Megamonas, Alloprevotella
Giardia intestinalis infection: Moraxella, Firmicutes, Campylobacter, Aggregatibacter, Propionibacterium, Atopobium, Actinobacteria, Treponema, Capnocytophaga, Coprobacillus, Propionibacterium acnes, Proteobacteria, Megamonas, Selenomonas, Peptostreptococcus, Alloprevotella, Gemella, Clostridiales, Peptoniphilus, Ruminococcus gnavus
Glycogen storage disease: Megamonas, Campylobacter, Proteobacteria, Collinsella, Atopobium, Actinobacteria, Neisseria, Ruminococcus gnavus, Aggregatibacter, Oscillibacter, Gemella, Rothia, Lachnoclostridium, Corynebacterium, Firmicutes, Staphylococcus, Phascolarctobacterium, Lachnospira, Alloprevotella, Porphyromonas
Frailty: Moraxella, Campylobacter, Firmicutes, Aggregatibacter, Atopobium, Propionibacterium, Actinobacteria, Treponema, Proteobacteria, Capnocytophaga, Gemella, Coprobacillus, Alloprevotella, Propionibacterium acnes, Megamonas, Peptostreptococcus, Peptoniphilus, Selenomonas, Clostridiales, Ruminococcus gnavus
Metabolic syndrome: Parabacteroides, Roseburia, Clostridium, Faecalibacterium, Enterobacteriaceae, Enterococcus, Ruminococcus, Alistipes, Blautia, Bifidobacterium, Dorea, Ruminococcaceae, Bacteroides, Anaerostipes, Akkermansia, Klebsiella, Faecalibacterium prausnitzii, Corynebacterium, Porphyromonas, Megamonas
Pancreatic head cancer: Moraxella, Firmicutes, Selenomonas, Propionibacterium, Campylobacter, Peptostreptococcus, Capnocytophaga, Aggregatibacter, Atopobium, Treponema, Lactobacillus crispatus, Propionibacterium acnes, Peptoniphilus, Streptococcus anginosus, Actinobacteria, Veillonella dispar, Staphylococcus epidermidis, Coprobacillus, Comamonas, Streptococcus salivarius
Hepatitis B associated liver failure: Selenomonas, Streptococcus pneumoniae, Moraxella, Prevotella nanceiensis, Haemophilus influenzae, Peptostreptococcus, Lactobacillus crispatus, Streptococcus anginosus, Propionibacterium, Capnocytophaga, Streptococcus sanguinis, Comamonas, Staphylococcus aureus, Fusobacterium nucleatum, Psychrobacter, Staphylococcus epidermidis, Streptococcus parasanguinis, Propionibacterium acnes, Firmicutes, Streptococcus oralis
Bladder cancer: Rothia, Akkermansia, Clostridium, Alistipes, Porphyromonas, Ruminococcus gnavus, Lachnospira, Dorea, Collinsella, Klebsiella, Bilophila, Neisseria, Eubacterium, Peptostreptococcaceae, Lachnospiraceae, Haemophilus, Anaerostipes, Oscillibacter, Corynebacterium, Subdoligranulum
Kostmann syndrome: Moraxella, Selenomonas, Firmicutes, Propionibacterium, Streptococcus pneumoniae, Capnocytophaga, Peptostreptococcus, Prevotella nanceiensis, Campylobacter, Lactobacillus crispatus, Aggregatibacter, Propionibacterium acnes, Streptococcus anginosus, Treponema, Peptoniphilus, Comamonas, Staphylococcus epidermidis, Fusobacterium nucleatum, Streptococcus parasanguinis, Streptococcus salivarius
Diarrhea: Parabacteroides, Roseburia, Faecalibacterium, Clostridium, Enterobacteriaceae, Ruminococcus, Blautia, Enterococcus, Alistipes, Bifidobacterium, Dorea, Ruminococcaceae, Bacteroides, Anaerostipes, Klebsiella, Akkermansia, Megamonas, Corynebacterium, Porphyromonas, Faecalibacterium prausnitzii
Seborrheic dermatitis: Selenomonas, Streptococcus pneumoniae, Peptostreptococcus, Streptococcus anginosus, Lactobacillus crispatus, Capnocytophaga, Comamonas, Propionibacterium, Propionibacterium acnes, Staphylococcus epidermidis, Prevotella nanceiensis, Moraxella, Streptococcus salivarius, Streptococcus sanguinis, Staphylococcus aureus, Psychrobacter, Fusobacterium nucleatum, Veillonella dispar, Streptococcus oralis, Haemophilus influenzae
Edentulism: Streptococcus pneumoniae, Haemophilus influenzae, Selenomonas, Staphylococcus aureus, Streptococcus sanguinis, Psychrobacter, Rothia aeria, Lactobacillus crispatus, Streptococcus anginosus, Prevotella nanceiensis, Enhydrobacter, Streptococcus oralis, Tanerella forsythia, Comamonas, Peptostreptococcus, Gardnerella vaginalis, Fusobacterium nucleatum, Veillonella dispar, Staphylococcus epidermidis, Capnocytophaga
Generalized anxiety disorder: Selenomonas, Moraxella, Peptostreptococcus, Propionibacterium, Lactobacillus crispatus, Streptococcus anginosus, Capnocytophaga, Streptococcus pneumoniae, Propionibacterium acnes, Comamonas, Staphylococcus epidermidis, Veillonella dispar, Peptoniphilus, Prevotella nanceiensis, Streptococcus salivarius, Firmicutes, Treponema, Fusobacterium nucleatum, Bulleidia, Staphylococcus aureus
Chronic ocular graft-versus-host disease: Moraxella, Selenomonas, Streptococcus pneumoniae, Firmicutes, Propionibacterium, Peptostreptococcus, Capnocytophaga, Prevotella nanceiensis, Lactobacillus crispatus, Streptococcus anginosus, Propionibacterium acnes, Comamonas, Fusobacterium nucleatum, Staphylococcus epidermidis, Peptoniphilus, Streptococcus parasanguinis, Haemophilus influenzae, Treponema, Streptococcus salivarius, Campylobacter
Pediculosis: Propionibacterium acnes, Propionibacterium, Selenomonas, Capnocytophaga, Treponema, Alloprevotella, Peptostreptococcus, Streptococcus salivarius, Streptococcus anginosus, Campylobacter, Staphylococcus epidermidis, Lactobacillus crispatus, Moraxella, Peptoniphilus, Actinobacteria, Comamonas, Veillonella dispar, Bacteriodes uniformis, Bulleidia, Atopobium
Rosacea: Alloprevotella, Propionibacterium acnes, Campylobacter, Propionibacterium, Treponema, Actinobacteria, Atopobium, Capnocytophaga, Aggregatibacter, Peptostreptococcus, Ruminococcus gnavus, Gemella, Moraxella, Pseudomonas, Selenomonas, Streptococcus salivarius, Granulicatella, Firmicutes, Streptococcus anginosus, Peptoniphilus
Familial Mediterranean fever: Megamonas, Collinsella, Proteobacteria, Campylobacter, Neisseria, Ruminococcus gnavus, Rothia, Oscillibacter, Actinobacteria, Corynebacterium, Atopobium, Phascolarctobacterium, Aggregatibacter, Porphyromonas, Lachnoclostridium, Lachnospira, Gemella, Akkermansia, Staphylococcus, Fusobacterium
AA amyloidosis: Moraxella, Firmicutes, Selenomonas, Propionibacterium, Capnocytophaga, Peptostreptococcus, Campylobacter, Streptococcus pneumoniae, Aggregatibacter, Propionibacterium acnes, Treponema, Prevotella nanceiensis, Lactobacillus crispatus, Peptoniphilus, Streptococcus anginosus, Staphylococcus epidermidis, Atopobium, Comamonas, Coprobacillus, Actinobacteria
Mucosa-associated lymphoid tissue lymphoma: Selenomonas, Streptococcus anginosus, Peptostreptococcus, Propionibacterium acnes, Lactobacillus crispatus, Capnocytophaga, Comamonas, Streptococcus salivarius, Propionibacterium, Staphylococcus epidermidis, Veillonella dispar, Treponema, Bulleidia, Peptoniphilus, Moraxella, Staphylococcus aureus, Psychrobacter, Streptococcus pneumoniae, Bacteriodes uniformis, Streptococcus sanguinis
Fibromyalgia: Alloprevotella, Ruminococcus gnavus, Propionibacterium acnes, Treponema, Granulicatella, Pseudomonas, Anaerotruncus, Streptococcus salivarius, Bacteriodes uniformis, Bilophila, Lachnospira, Oscillibacter, Actinobacteria, Escherichia coli, Gemella, Bulleidia, Streptococcus anginosus, Rothia, Propionibacterium, Capnocytophaga
Chronic liver disease: Moraxella, Firmicutes, Selenomonas, Propionibacterium, Campylobacter, Capnocytophaga, Peptostreptococcus, Aggregatibacter, Propionibacterium acnes, Treponema, Peptoniphilus, Lactobacillus crispatus, Atopobium, Streptococcus pneumoniae, Streptococcus anginosus, Actinobacteria, Staphylococcus epidermidis, Coprobacillus, Comamonas, Prevotella nanceiensis
Colon polyps: Selenomonas, Moraxella, Streptococcus pneumoniae, Peptostreptococcus, Propionibacterium, Lactobacillus crispatus, Capnocytophaga, Streptococcus anginosus, Prevotella nanceiensis, Firmicutes, Comamonas, Propionibacterium acnes, Staphylococcus epidermidis, Peptoniphilus, Streptococcus salivarius, Fusobacterium nucleatum, Veillonella dispar, Treponema, Staphylococcus aureus, Streptococcus sanguinis
Collagenous colitis: Moraxella, Firmicutes, Campylobacter, Aggregatibacter, Propionibacterium, Atopobium, Actinobacteria, Treponema, Capnocytophaga, Selenomonas, Peptostreptococcus, Coprobacillus, Propionibacterium acnes, Proteobacteria, Gemella, Megamonas, Peptoniphilus, Alloprevotella, Clostridiales, Streptococcus anginosus
Common Variable Immunodeficieny: Moraxella, Firmicutes, Propionibacterium, Selenomonas, Campylobacter, Aggregatibacter, Capnocytophaga, Peptostreptococcus, Atopobium, Treponema, Propionibacterium acnes, Actinobacteria, Peptoniphilus, Coprobacillus, Lactobacillus crispatus, Streptococcus anginosus, Staphylococcus epidermidis, Clostridiales, Comamonas, Streptococcus salivarius
Sepsis: Parabacteroides, Roseburia, Faecalibacterium, Enterobacteriaceae, Clostridium, Ruminococcus, Enterococcus, Blautia, Alistipes, Bifidobacterium, Ruminococcaceae, Bacteroides, Dorea, Anaerostipes, Klebsiella, Akkermansia, Megamonas, Faecalibacterium prausnitzii, Corynebacterium, Porphyromonas
Periodontal abscess: Selenomonas, Moraxella, Propionibacterium, Peptostreptococcus, Capnocytophaga, Lactobacillus crispatus, Streptococcus anginosus, Firmicutes, Propionibacterium acnes, Comamonas, Treponema, Staphylococcus epidermidis, Streptococcus pneumoniae, Peptoniphilus, Streptococcus salivarius, Veillonella dispar, Prevotella nanceiensis, Fusobacterium nucleatum, Campylobacter, Aggregatibacter
Gestational diabetes + hyperlipidemia: Moraxella, Firmicutes, Propionibacterium, Campylobacter, Aggregatibacter, Selenomonas, Capnocytophaga, Atopobium, Peptostreptococcus, Treponema, Actinobacteria, Propionibacterium acnes, Peptoniphilus, Coprobacillus, Clostridiales, Streptococcus anginosus, Alloprevotella, Lactobacillus crispatus, Gemella, Staphylococcus epidermidis
Anti-N-methyl-D-aspartate receptor encephalitis: Moraxella, Firmicutes, Campylobacter, Propionibacterium, Aggregatibacter, Atopobium, Actinobacteria, Treponema, Capnocytophaga, Selenomonas, Propionibacterium acnes, Coprobacillus, Peptostreptococcus, Proteobacteria, Alloprevotella, Gemella, Peptoniphilus, Megamonas, Clostridiales, Streptococcus salivarius
Atrial fibrillation: Parabacteroides, Roseburia, Faecalibacterium, Clostridium, Ruminococcus, Enterobacteriaceae, Enterococcus, Bifidobacterium, Blautia, Alistipes, Bacteroides, Dorea, Ruminococcaceae, Klebsiella, Anaerostipes, Akkermansia, Corynebacterium, Fusobacterium, Porphyromonas, Faecalibacterium prausnitzii
Pemphigus vulgaris: Megamonas, Collinsella, Corynebacterium, Rothia, Akkermansia, Alistipes, Porphyromonas, Dorea, Phascolarctobacterium, Clostridium, Neisseria, Klebsiella, Fusobacterium, Blautia, Anaerostipes, Roseburia, Enterobacteriaceae, Ruminococcus gnavus, Subdoligranulum, Proteobacteria
Orofacial granulomatosis: Campylobacter, Moraxella, Firmicutes, Aggregatibacter, Propionibacterium, Actinobacteria, Atopobium, Megamonas, Proteobacteria, Treponema, Alloprevotella, Coprobacillus, Propionibacterium acnes, Gemella, Capnocytophaga, Ruminococcus gnavus, Clostridiales, Peptostreptococcus, Peptoniphilus, Selenomonas
Radiation enteritis: Moraxella, Firmicutes, Propionibacterium, Selenomonas, Campylobacter, Aggregatibacter, Capnocytophaga, Peptostreptococcus, Propionibacterium acnes, Treponema, Atopobium, Peptoniphilus, Actinobacteria, Coprobacillus, Streptococcus anginosus, Lactobacillus crispatus, Staphylococcus epidermidis, Streptococcus salivarius, Comamonas, Clostridiales
Intrahepatic Cholangiocarcinoma: Clostridium, Parabacteroides, Roseburia, Enterobacteriaceae, Alistipes, Dorea, Enterococcus, Blautia, Akkermansia, Klebsiella, Ruminococcus, Anaerostipes, Ruminococcaceae, Faecalibacterium, Megamonas, Porphyromonas, Corynebacterium, Rothia, Phascolarctobacterium, Collinsella
Osteoporosis: Faecalibacterium, Parabacteroides, Bifidobacterium, Bacteroides, Roseburia, Ruminococcus, Enterococcus, Enterobacteriaceae, Clostridium, Blautia, Ruminococcaceae, Prevotella, Streptococcus, Alistipes, Dorea, Anaerostipes, Faecalibacterium prausnitzii, Klebsiella, Lactobacillus, Coprococcus
Cancer cachexia: Moraxella, Firmicutes, Selenomonas, Propionibacterium, Capnocytophaga, Campylobacter, Peptostreptococcus, Aggregatibacter, Propionibacterium acnes, Streptococcus pneumoniae, Treponema, Peptoniphilus, Lactobacillus crispatus, Streptococcus anginosus, Atopobium, Prevotella nanceiensis, Staphylococcus epidermidis, Actinobacteria, Comamonas, Coprobacillus
Lower respiratory tract infection: Streptococcus pneumoniae, Selenomonas, Haemophilus influenzae, Prevotella nanceiensis, Moraxella, Peptostreptococcus, Lactobacillus crispatus, Streptococcus sanguinis, Streptococcus anginosus, Propionibacterium, Capnocytophaga, Staphylococcus aureus, Comamonas, Fusobacterium nucleatum, Psychrobacter, Streptococcus parasanguinis, Gardnerella vaginalis, Staphylococcus epidermidis, Streptococcus oralis, Propionibacterium acnes
Laryngotracheal stenosis: Moraxella, Firmicutes, Selenomonas, Propionibacterium, Capnocytophaga, Peptostreptococcus, Campylobacter, Aggregatibacter, Propionibacterium acnes, Treponema, Streptococcus pneumoniae, Peptoniphilus, Lactobacillus crispatus, Streptococcus anginosus, Atopobium, Staphylococcus epidermidis, Prevotella nanceiensis, Comamonas, Actinobacteria, Coprobacillus
Down syndrome: Megamonas, Ruminococcus gnavus, Collinsella, Campylobacter, Proteobacteria, Neisseria, Actinobacteria, Atopobium, Oscillibacter, Rothia, Aggregatibacter, Gemella, Lachnospira, Alloprevotella, Staphylococcus, Lachnoclostridium, Anaerotruncus, Porphyromonas, Corynebacterium, Phascolarctobacterium
Chronic mucocutaneous candidiasis: Megamonas, Collinsella, Proteobacteria, Neisseria, Campylobacter, Ruminococcus gnavus, Rothia, Corynebacterium, Oscillibacter, Actinobacteria, Phascolarctobacterium, Atopobium, Porphyromonas, Aggregatibacter, Lachnospira, Akkermansia, Gemella, Lachnoclostridium, Staphylococcus, Fusobacterium
Hyper IgE syndrome: Megamonas, Collinsella, Neisseria, Proteobacteria, Rothia, Ruminococcus gnavus, Corynebacterium, Campylobacter, Phascolarctobacterium, Oscillibacter, Porphyromonas, Akkermansia, Actinobacteria, Atopobium, Lachnospira, Fusobacterium, Alistipes, Lachnoclostridium, Dorea, Staphylococcus
Acute cerbral infarction: Moraxella, Selenomonas, Streptococcus pneumoniae, Propionibacterium, Firmicutes, Peptostreptococcus, Capnocytophaga, Lactobacillus crispatus, Prevotella nanceiensis, Streptococcus anginosus, Propionibacterium acnes, Comamonas, Staphylococcus epidermidis, Peptoniphilus, Fusobacterium nucleatum, Treponema, Streptococcus parasanguinis, Streptococcus salivarius, Campylobacter, Veillonella dispar
Biliary atresia: Megamonas, Collinsella, Neisseria, Rothia, Corynebacterium, Proteobacteria, Porphyromonas, Phascolarctobacterium, Ruminococcus gnavus, Akkermansia, Fusobacterium, Oscillibacter, Alistipes, Dorea, Klebsiella, Lachnospira, Campylobacter, Anaerostipes, Subdoligranulum, Clostridium
Diabetic nephropathy: Faecalibacterium, Parabacteroides, Roseburia, Bifidobacterium, Bacteroides, Ruminococcus, Enterobacteriaceae, Enterococcus, Clostridium, Blautia, Ruminococcaceae, Alistipes, Prevotella, Streptococcus, Dorea, Anaerostipes, Faecalibacterium prausnitzii, Klebsiella, Lactobacillus, Akkermansia
Allergic rhinoconjunctivitis: Moraxella, Selenomonas, Firmicutes, Streptococcus pneumoniae, Propionibacterium, Peptostreptococcus, Capnocytophaga, Prevotella nanceiensis, Lactobacillus crispatus, Streptococcus anginosus, Propionibacterium acnes, Comamonas, Staphylococcus epidermidis, Peptoniphilus, Fusobacterium nucleatum, Treponema, Streptococcus parasanguinis, Campylobacter, Streptococcus salivarius, Aggregatibacter
Diaper dermatitis: Selenomonas, Streptococcus pneumoniae, Prevotella nanceiensis, Haemophilus influenzae, Moraxella, Peptostreptococcus, Lactobacillus crispatus, Streptococcus anginosus, Streptococcus sanguinis, Comamonas, Capnocytophaga, Propionibacterium, Staphylococcus aureus, Psychrobacter, Fusobacterium nucleatum, Staphylococcus epidermidis, Streptococcus oralis, Streptococcus parasanguinis, Propionibacterium acnes, Gardnerella vaginalis
Alopecia universalis: Selenomonas, Streptococcus pneumoniae, Moraxella, Prevotella nanceiensis, Peptostreptococcus, Lactobacillus crispatus, Streptococcus anginosus, Propionibacterium, Haemophilus influenzae, Capnocytophaga, Comamonas, Streptococcus sanguinis, Staphylococcus aureus, Fusobacterium nucleatum, Staphylococcus epidermidis, Propionibacterium acnes, Psychrobacter, Streptococcus parasanguinis, Streptococcus oralis, Streptococcus salivarius
Chronic pancreatitis: Megamonas, Clostridium, Roseburia, Alistipes, Dorea, Parabacteroides, Enterobacteriaceae, Akkermansia, Blautia, Corynebacterium, Klebsiella, Porphyromonas, Anaerostipes, Collinsella, Rothia, Phascolarctobacterium, Ruminococcus, Fusobacterium, Enterococcus, Ruminococcaceae
Posttraumatic stress syndrome: Selenomonas, Streptococcus pneumoniae, Moraxella, Peptostreptococcus, Lactobacillus crispatus, Streptococcus anginosus, Prevotella nanceiensis, Capnocytophaga, Propionibacterium, Comamonas, Haemophilus influenzae, Streptococcus sanguinis, Staphylococcus epidermidis, Staphylococcus aureus, Fusobacterium nucleatum, Propionibacterium acnes, Psychrobacter, Streptococcus salivarius, Veillonella dispar, Streptococcus oralis
Hidradenitis suppurativa: Megamonas, Collinsella, Ruminococcus gnavus, Rothia, Neisseria, Akkermansia, Porphyromonas, Proteobacteria, Oscillibacter, Lachnospira, Corynebacterium, Phascolarctobacterium, Alistipes, Dorea, Klebsiella, Fusobacterium, Eubacterium, Actinobacteria, Staphylococcus, Shigella
Idiopathic focal epilepsy: Moraxella, Firmicutes, Campylobacter, Propionibacterium, Aggregatibacter, Atopobium, Selenomonas, Actinobacteria, Capnocytophaga, Treponema, Peptostreptococcus, Propionibacterium acnes, Coprobacillus, Peptoniphilus, Proteobacteria, Gemella, Clostridiales, Alloprevotella, Megamonas, Streptococcus anginosus
Vogt-Koyagani-Harada disease: Streptococcus pneumoniae, Selenomonas, Haemophilus influenzae, Prevotella nanceiensis, Streptococcus sanguinis, Lactobacillus crispatus, Staphylococcus aureus, Streptococcus anginosus, Peptostreptococcus, Psychrobacter, Comamonas, Capnocytophaga, Gardnerella vaginalis, Fusobacterium nucleatum, Streptococcus oralis, Propionibacterium, Staphylococcus epidermidis, Moraxella, Streptococcus parasanguinis, Propionibacterium acnes
Iron-deficiency anaemia: Moraxella, Firmicutes, Selenomonas, Propionibacterium, Campylobacter, Capnocytophaga, Peptostreptococcus, Aggregatibacter, Treponema, Propionibacterium acnes, Atopobium, Peptoniphilus, Lactobacillus crispatus, Streptococcus anginosus, Actinobacteria, Staphylococcus epidermidis, Coprobacillus, Comamonas, Streptococcus salivarius, Veillonella dispar
