Spirochaetes: Colorectal Neoplasms, Parkinson Disease, Alzheimer Disease, Lung Neoplasms, Mouth Neoplasms, Stomach Neoplasms, Breast Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Buchnera aphidicola: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Candida dubliniensis: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Lung Neoplasms, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Candidatus Azobacteroides: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Candidatus Azobacteroides pseudotrichonymphae: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Capnocytophaga canimorsus: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Cellulosimicrobium: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Cellulosimicrobium sp. TH-20: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Chryseobacterium sp. IHB B 17019: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Clavibacter: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Clavibacter michiganensis: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Flavobacteriaceae bacterium 3519-10: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Halobacillus mangrovi: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Lactobacillus acidophilus: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Lactiplantibacillus plantarum: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Parascardovia: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Parascardovia denticolens: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Rhodococcus sp. 008: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Scardovia inopinata: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Lung Neoplasms, Alzheimer Disease, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Streptococcus phage PhiSpn_200: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Streptococcus sp. I-G2: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Torulaspora: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Torulaspora delbrueckii: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Lung Neoplasms, Stomach Neoplasms, Breast Neoplasms, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Urechidicola croceus: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Wenyingzhuangia: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Wenyingzhuangia fucanilytica: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Deferribacterales: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Deferribacteres: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Ulcerative Colitis, Alzheimer Disease, Breast Neoplasms, Lung Neoplasms, Stomach Neoplasms, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Candidatus Gracilibacteria: Colorectal Neoplasms, Mouth Neoplasms, Parkinson Disease, Alzheimer Disease, Breast Neoplasms, Ulcerative Colitis, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Defluviitaleaceae: Colorectal Neoplasms, Mouth Neoplasms, Parkinson Disease, Alzheimer Disease, Breast Neoplasms, Ulcerative Colitis, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Micrococcales: Colorectal Neoplasms, Alzheimer Disease, Mouth Neoplasms, Parkinson Disease, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Ulcerative Colitis, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Rickettsiales: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Spirochaetia: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Microbacterium chocolatum: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Breast Neoplasms, Ulcerative Colitis, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Pseudomonas stutzeri: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Liver Neoplasms, Pancreatic Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Roseomonas mucosa: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Breast Neoplasms, Ulcerative Colitis, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Pantoea agglomerans: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Proteiniphilum: Colorectal Neoplasms, Mouth Neoplasms, Parkinson Disease, Alzheimer Disease, Breast Neoplasms, Ulcerative Colitis, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Pseudonocardiaceae: Colorectal Neoplasms, Mouth Neoplasms, Parkinson Disease, Alzheimer Disease, Breast Neoplasms, Ulcerative Colitis, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Pseudonocardiales: Colorectal Neoplasms, Mouth Neoplasms, Parkinson Disease, Alzheimer Disease, Breast Neoplasms, Ulcerative Colitis, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Saccharopolyspora: Colorectal Neoplasms, Mouth Neoplasms, Parkinson Disease, Alzheimer Disease, Breast Neoplasms, Ulcerative Colitis, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Acholeplasmatales: Colorectal Neoplasms, Mouth Neoplasms, Parkinson Disease, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Actinotalea: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Balneimonas: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Bosea: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Cellulomonadaceae: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Cenarchaeales: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Chlamydiae: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Chlamydiales: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Chlamydiia: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Chloracidobacterium: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Chromatiales: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Conexibacteraceae: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Crenarchaeota: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Holophagaceae: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Holophagae: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Holophagales: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Hyphomicrobium: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Kocuria: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Lung Neoplasms, Breast Neoplasms, Stomach Neoplasms, Ulcerative Colitis, Pancreatic Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Celiac Disease, Head and Neck Neoplasms, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
Lutispora: Colorectal Neoplasms, Parkinson Disease, Mouth Neoplasms, Alzheimer Disease, Ulcerative Colitis, Breast Neoplasms, Lung Neoplasms, Pancreatic Neoplasms, Stomach Neoplasms, Liver Neoplasms, Crohn Disease, Uterine Cervical Neoplasms, Thyroid Neoplasms, Urinary Bladder Neoplasms, Esophageal Neoplasms, Head and Neck Neoplasms, Celiac Disease, Inflammatory Bowel Diseases, Atherosclerosis, Hypertension
