Lactobacillus: Hypertension, Thyroid carcinoma, Infantile eczema, Major depressive disorder, Hepatocellular cancer, Coronary artery disease, Multiple Sclerosis, Alcoholism, Inflammatory Bowel Disease, Ankylosing spondylitis, Cholestasis, Hepatitis B, Type 1 Diabetes, Non-alcoholic fatty liver disease, Alzheimer's Disease, Primary sclerosing cholangitis, Autism spectrum disorders, Pancreatic cancer, Chronic kidney disease, Primary biliary cholangitis
Eubacterium infirmum: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Blastocystis: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Sclerotiniaceae: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Cystic Fibrosis, Autism, Cirrhosis, Asthma, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Thermus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Lactobacillus sanfranciscensis: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Desulfovibrio longreachensis: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Porphyromonas uenonis: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, Clostridium difficile associated disease, HIV infection, Azoospermia, Opisthorchis felineus infection
Desulfovibrio vietnamensis: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, Clostridium difficile associated disease, HIV infection, Azoospermia, Opisthorchis felineus infection
Lachnospira multipara: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, Clostridium difficile associated disease, HIV infection, Azoospermia, Opisthorchis felineus infection
Mucor fuscus: Colorectal cancer, Caries, periodontitis, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Autism spectrum disorders, Azoospermia
Tepidimonas: Parkinson's Disease, Colorectal cancer, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Asthma, Uveitits, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Corynebacterium simulans: Parkinson's Disease, Colorectal cancer, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, Uveitits, HIV infection, Aerobic vaginitis, Irritable Bowel Syndrome, Autism spectrum disorders, Breast cancer
Pseudomonas veronii: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Acinetobacter lwoffii: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Clostridium difficile associated disease, Azoospermia
Acinetobacter johnsonii: Colorectal cancer, Parkinson's Disease, Crohn's Disease, Caries, Type 2 Diabetes, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, Uveitits, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Eggerthellaceae: Parkinson's Disease, Colorectal cancer, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Uveitits, Aerobic vaginitis, Irritable Bowel Syndrome, Autism spectrum disorders, Breast cancer
Parabacteroides johnsonii: Type 2 Diabetes, Parkinson's Disease, Crohn's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Obesity, Psoriasis, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Aerobic vaginitis, Irritable Bowel Syndrome, Uveitits, Chronic Obstructive Pulmonary Disease
Phocea massiliensis: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Starmerella etchellii: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Hannaella luteola: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Trametes: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Hanseniaspora uvarum: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Alternaria tamaricis: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Cladosporium halotolerans: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Filobasidium stepposum: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Cystofilobasidium macerans: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Clostridium difficile associated disease, Azoospermia
Penicillium expansum: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Clostridium difficile associated disease, Azoospermia
Solibacillus: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Pilibacter: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Lutispora: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Proteiniclasticum: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Thermodesulfobium: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Cutibacterium: Parkinson's Disease, Type 2 Diabetes, Crohn's Disease, Colorectal cancer, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Obesity, Schizophrenia, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Aerobic vaginitis, Uveitits, Chronic Obstructive Pulmonary Disease
Corynebacterium striatum: Parkinson's Disease, Crohn's Disease, Colorectal cancer, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Autism, Cirrhosis, Cystic Fibrosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Uveitits, Aerobic vaginitis, Breast cancer
Ruminococcus gauvreauii: Parkinson's Disease, Crohn's Disease, Colorectal cancer, Type 2 Diabetes, Caries, periodontitis, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Uveitits, Aerobic vaginitis, Irritable Bowel Syndrome, Breast cancer
Patescibacteria: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Trichoderma: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Microascaceae: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Bionectriaceae: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Clostridium difficile associated disease, Irritable Bowel Syndrome
Glomerellales: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Scedosporium: Colorectal cancer, Caries, periodontitis, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Breast cancer
Cephalotrichum: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Uveitits, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Aspergillaceae: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Purpureocillium: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Hypocreaceae: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Rhodococcus erythropolis: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Uveitits, Cystic Fibrosis, Autism, Cirrhosis, Aerobic vaginitis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Erwinia mallotivora: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Staphylococcus hominis: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Rhizophagus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Ramularia collo-cygni: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Clostridium difficile associated disease, Irritable Bowel Syndrome
Candidatus Methanomethylophilus alvus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Schizophrenia, Aerobic vaginitis, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Cyanothece: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Solobacterium moorei: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Opisthorchis felineus infection
Orthobunyavirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Inovirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Tunalikevirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Opisthorchis felineus infection
Fromanvirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Phikzvirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Opisthorchis felineus infection
Betabaculovirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Zindervirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Moineauvirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Punavirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Lambdavirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Opisthorchis felineus infection
Ceduovirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Muvirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, Clostridium difficile associated disease, HIV infection, Azoospermia, Opisthorchis felineus infection
Twortvirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Opisthorchis felineus infection
Gammasphaerolipovirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Opisthorchis felineus infection
Circovirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Opisthorchis felineus infection
Okubovirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Cytomegalovirus: Colorectal cancer, Caries, periodontitis, Parkinson's Disease, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Asthma, Autism, HIV infection, Irritable Bowel Syndrome, Autism spectrum disorders, Opisthorchis felineus infection
Uetekavirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Ravinvirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Phikmvvirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Cyprinivirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Lymphocryptovirus: Colorectal cancer, Caries, Parkinson's Disease, periodontitis, Crohn's Disease, Type 2 Diabetes, Uveitits, Ulcerative Colitis, Psoriasis, Aerobic vaginitis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, HIV infection, Clostridium difficile associated disease, Azoospermia, Autism spectrum disorders
Clostridium celatum: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Streptococcus sobrinus: Parkinson's Disease, Colorectal cancer, Crohn's Disease, Caries, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Obesity, Cystic Fibrosis, Cirrhosis, Autism, Asthma, Uveitits, Aerobic vaginitis, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
Haemophilus aegyptius: Colorectal cancer, Parkinson's Disease, Caries, periodontitis, Crohn's Disease, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Uveitits, Schizophrenia, Obesity, Aerobic vaginitis, Cystic Fibrosis, Autism, Cirrhosis, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Azoospermia
Xylaria: Colorectal cancer, Parkinson's Disease, Caries, Crohn's Disease, periodontitis, Type 2 Diabetes, Ulcerative Colitis, Psoriasis, Schizophrenia, Uveitits, Obesity, Cystic Fibrosis, Aerobic vaginitis, Cirrhosis, Autism, Asthma, HIV infection, Autism spectrum disorders, Irritable Bowel Syndrome, Breast cancer
