Collinsella aerofaciens: Irritable bowel syndrome(IBS), Cystic fibrosis, Type 1 diabetes, Bacterial Vaginosis, Colon cancer, Liver cirrhosis, Necrotizing Enterocolitis, Obesity, Clostridium difficile infection(CDI), Constipation Irritable bowel syndrome(IBS), Systemic inflammatory response syndrome, Infectious colitis, Atopic dermatitis, Asthma, Ulcerative colitis, New-onset untreated rheumatoid arthrits, Skin and mucosal infections, COPD, Inflammatory bowel disease(IBD), Whipple's disease
Butyrate-producing bacterium SR1/1: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium SR1/5: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium SS2/1: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium SSC/2: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Butyrate-producing bacterium T2-132: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Clostridia bacterium TSW07CA7: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Clostridiaceae bacterium bSSV31: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Clostridiaceae bacterium LEMV63: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Clostridiaceae bacterium SH032: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Clostridiaceae bacterium SK061: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Clostridiales bacterium 80/3: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Clostridiales bacterium A2-162: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Clostridiales bacterium AHT16: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Clostridiales bacterium L2-14: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Clostridium innocuum: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Clostridium ramosum: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Clostridium spiroforme: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Ileal Crohn's disease(CD), Irritable bowel syndrome(IBS), Colorectal carcinoma, Bacterial Vaginosis, Necrotizing Enterocolitis, Crohn's disease(CD), Diarrhea Irritable bowel syndrome(IBS), Type 2 diabetes, Psoriasis, Rheumatoid arthrits, Inflammatory bowel disease(IBD), COPD, Asthma, Atopy, Kidney stones, Skin and mucosal infections
Collinsella: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Coprobacillus: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Ileal Crohn's disease(CD), Colorectal carcinoma, Bacterial Vaginosis, Irritable bowel syndrome(IBS), Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Diarrhea Irritable bowel syndrome(IBS), Psoriasis, Rheumatoid arthrits, Inflammatory bowel disease(IBD), COPD, Asthma, Atopy, Kidney stones, Skin and mucosal infections
Cronobacter: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Dehalobacterium: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Desulfotomaculum: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Dialister: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Dysgonomonas: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Edwardsiella: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Enterobacter: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Erwinia: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Erysipelothrix: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Escherichia: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Eubacterium tortuosum: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Firmicutes bacterium EG14: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, Necrotizing Enterocolitis, New-onset untreated rheumatoid arthrits, Inflammatory bowel disease(IBD), Whipple's disease, Type 2 diabetes
Firmicutes str. C29: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, Necrotizing Enterocolitis, New-onset untreated rheumatoid arthrits, Inflammatory bowel disease(IBD), Whipple's disease, Type 2 diabetes
Gram-negative bacterium cL10-2b-4: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Hafnia: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Human intestinal firmicute CO13: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Human intestinal firmicute CO2: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Human intestinal firmicute CO35: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Human intestinal firmicute CO4: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Human intestinal firmicute CS26: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Lachnobacterium: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Lachnospiraceae bacterium A2: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Lactococcus: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Mannheimia: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Ileal Crohn's disease(CD), Irritable bowel syndrome(IBS), Bacterial Vaginosis, Colorectal carcinoma, Necrotizing Enterocolitis, Diarrhea Irritable bowel syndrome(IBS), Crohn's disease(CD), Rheumatoid arthrits, Type 2 diabetes, Psoriasis, Atopy, Inflammatory bowel disease(IBD), COPD, Kidney stones, Asthma, Skin and mucosal infections
Mastodon intestinal bacterium AN-22-6: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Mogibacterium: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Odoribacter: Type 1 diabetes, Liver cirrhosis, Clostridium difficile infection(CDI), Type 2 diabetes, Crohn's disease(CD), Bacterial Vaginosis, Necrotizing Enterocolitis, Periodontal, Colorectal carcinoma, Ileal Crohn's disease(CD), COPD, Irritable bowel syndrome(IBS), Psoriasis, Asthma, Inflammatory bowel disease(IBD), Ulcerative colitis, Obesity, Systemic inflammatory response syndrome, Rheumatoid arthrits, Constipation Irritable bowel syndrome(IBS)
Oligella: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Oscillibacter: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Oscillospira: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Oscillospiraceae bacterium NML 061048: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Pantoea: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Parabacteroides: Liver cirrhosis, Type 1 diabetes, Clostridium difficile infection(CDI), Necrotizing Enterocolitis, Crohn's disease(CD), Type 2 diabetes, Irritable bowel syndrome(IBS), Bacterial Vaginosis, COPD, Periodontal, Psoriasis, Asthma, Colorectal carcinoma, Ileal Crohn's disease(CD), Inflammatory bowel disease(IBD), Obesity, Ulcerative colitis, Systemic inflammatory response syndrome, Rheumatoid arthrits, Constipation Irritable bowel syndrome(IBS)
Pasteurella: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Pectobacterium: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Peptostreptococcus: Type 1 diabetes, Clostridium difficile infection(CDI), Liver cirrhosis, Periodontal, Irritable bowel syndrome(IBS), Ileal Crohn's disease(CD), Bacterial Vaginosis, Diarrhea Irritable bowel syndrome(IBS), Colorectal carcinoma, Atopy, Rheumatoid arthrits, Kidney stones, Cystic fibrosis, Skin and mucosal infections, Colon cancer, New-onset untreated rheumatoid arthrits, Necrotizing Enterocolitis, Whipple's disease, Inflammatory bowel disease(IBD), Type 2 diabetes
Phascolarctobacterium: Type 1 diabetes, Liver cirrhosis, Clostridium difficile infection(CDI), Type 2 diabetes, Crohn's disease(CD), Bacterial Vaginosis, Necrotizing Enterocolitis, Periodontal, Colorectal carcinoma, Ileal Crohn's disease(CD), COPD, Irritable bowel syndrome(IBS), Psoriasis, Asthma, Inflammatory bowel disease(IBD), Ulcerative colitis, Obesity, Systemic inflammatory response syndrome, Rheumatoid arthrits, Constipation Irritable bowel syndrome(IBS)
